번호,구분,문제내용,보기1,보기2,보기3,보기4,정답,해설
1,객관식퀴즈,한 나라의 금융자산 잔액을 유형자산 잔액으로 나눈 비율을 무엇이라고 하는가?,금융연관비율,이자보상비율,자기금융비율,BIS비율,1번,"금융연관비율은 한 나라의 실물 자산에 대한 금융자산 비율로 경제성장과 금융구조의 관계를 표시하는 자료로 이용된다. 미국의 골드스미스(R.W. Goldsmith)가 처음 사용하여 골드스미스 비율이라고도 한다. 금융연관비율은 금융 부문의 양적 성장을 측정하는 지표로써 실물경제의 발달과 함께 상승하며 일반적으로 선진국이 후진국에 비해 높다. 이자보상비율은 기업이 영업이익으로 금융비용(이자비용)을 얼마나 감당할 수 있는지를 보여주는 지표이며, 자기금융비율은 기업이 설비투자의 소요자금 중 자기자금으로 충당한 비율을 나타낸다. BIS 비율은 BIS가 정한 은행의 위험자산 대비 자기자본비율을 의미한다."
2,객관식퀴즈,금리평가이론에 대한 설명으로 옳지 않은 것은?,완전한 금융시장에서 양국 간의 금리차는 선물환 프리미엄과 같아야 한다는 이론이다.,양국 간의 단기 금리차는 외국환의 현물 시세와 선물 시세의 차와 같다고 본다.,금융시장에서는 일물일가의 법칙이 적용되지 않음을 전제로 한다.,현실적으로는 거래비용 등으로 인해 이론과 다른 결과가 나타날 수 있다.,3번,"완전한 금융시장에서 2개국 간 금리 격차는 선물환 프리미엄(스왑레이트)와 같다는 이론이 금리평가이론이다. 즉 완전한 금융시장에서는 양국 간의 금리차가 현물환율과 선물환율 간 차이를 현물환율로 나눈 것과 같다고 보는데, 금융시장에서 일물일가의 법칙을 적용한 것이다. 현실적으로는 거래비용 등으로 인해 양자간 차이가 나타날 수 있다. 이때는 무위험이익을 추구하는 재정거래가 발생한다."
3,객관식퀴즈,"1999년 미국 의회가 제정한 법으로, 상업은행의 증권 관련 자회사 보유 금지를 폐지하고, 상업은행과 투자은행의 임직원 겸직 금지를 폐지하는 것을 핵심으로 하는 법안은 무엇인가?",그램-리치-블라일리법,글래스-스티걸법,도드-프랭크법,인플레이션감축법,1번,"그램-리치-블라일리법은 1999년 미국 의회가 제정한 것으로, 1933년 글래스-스티걸법 중 '상업은행의 증권 관련 자회사 보유 금지', '상업은행과 투자은행의 임직원 겸직 금지' 조항을 폐지하는 것을 핵심으로 한다. 이 법의 제정으로 인해 미국에서 금융자유화의 시대가 열렸고, 대형 상업은행들이 투자은행 업무에 뛰어들면서 경쟁이 심화되었다. 이로 인해 기존 투자은행 중 일부가 무리한 투자를 일삼다가 위기에 빠진 것이 2008글로벌 금융위기의 단초가 된 것으로 평가된다. 도드-프랭크법은 오바마 정부가 2008년의 글로벌 금융위기와 같은 사태가 일어나지 않도록 제정한 광범위한 금융규제법으로 2010년 7월 발효된 것으로, 월가 대형 은행들의 ‘대마불사(大馬不死)’ 관행을 막기 위해 대형 은행의 자본 확충을 의무화하고 ‘시스템적으로 중요한 금융기관(SIFI)’을 지정해 스트레스테스트를 하도록 했다. IRA는 기후변화 대응, 의료비 지원, 법인세 인상 등을 골자로 한 미국의 법으로, 급등한 인플레이션 완화를 위해 2022년 8월 16일 발효됐다. 특히 이 법에서는 전기차 구매 시 보조금(세액공제 혜택)을 받기 위해서는 전기차 제조에서 중국 등 우려 국가의 배터리 부품과 광물을 일정률 이하로 사용하도록 해 전기차 가치사슬에서 중국을 배제하려는 의도가 있다는 분석이 있다."
4,OX퀴즈,주식투자에 따라 발생하는 미래의 현금흐름을 적절한 할인율을 적용하여 현재가치로 전환함으로써 주식의 현재가치를 평가하는 모형을 배당할인모형이라고 한다.,,,,,1번(O),"배당할인모형에 대한 옳은 설명이다. 주식가치평가모형의 가장 기본적인 모델로, 주식의 가치는 각 기별 배당금을 적절한 할인율로 할인한 현재가치의 합으로 볼 수 있다는 이론이다."
5,OX퀴즈,"기본자본과 함께 BIS 기준 자기자본비율의 분자인 자기자본을 형성하며, 전형적인 자기자본은 아니지만 자기자본에 포함될 수 있다고 인정되는 항목은 '보완자본'이다.",,,,,1번(O),"보완자본(supplementary capita)에 대한 옳은 설명이다. 기본자본과 함께 BIS 기준 자기자본비율의 분자인 자기자본을 형성하며, 전형적인 자기자본은 아니지만 자기자본에 포함될 수 있는 정당하고 중요한 성격을 갖고 있다고 인정되는 항목으로 각국의 회계·조세제도에 따라 감독 당국의 재량으로 결정하되 BIS 기준에 제시된 일정한 조건을 충족하여야 한다. 우리나라의 경우 재평가적립금, 유가증권평가익, 대손충당금, 부채성 자본조달 수단, 기한부 후순위 채무 등이 이에 해당된다."
6,OX퀴즈,"부채담보부증권(CDO)는 회사채나 매출채권 등으로 구성된 풀(pool)을 기초 자산으로 하여 발행된 선, 후순위 채권을 말한다.",,,,,1번(O),"부채담보부증권(Collateralized Debt Obligation)에 대한 옳은 설명이다. 기초자산의 종류에 따라 회사채를 기초로 하는 CBO, 대출채권을 기초로 하는 CLO 등으로 분류된다."
7,객관식퀴즈,정당보조금에 대한 설명으로 옳지 않은 것은?,국가가 정당의 운영에 필요한 자금을 보조해주는 것을 말한다.,"매년 지급되는 것은 아니고, 선거가 있는 해에 선거비용 지원을 위해 지급된다.",의석을 얻지 못한 정당에게도 지급되는 경우가 있다.,원내교섭단체를 구성한 정당이 전체의 50%를 나눠가진다.,2번,"정당을 보호·육성하고자 국가가 세금으로 지원하는 보조금으로, 정당 운영비 지원을 위해 분기별로 지급되는 '경상보조금'과 선거가 있는 해에 선거비용 지원을 위해 지급되는 '선거보조금'이 있다. '원내교섭단체'를 구성한 정당이 전체 국고보조금의 50%를 나눠가진다. 다음으로 의석수가 5~19석인 정당이 5%, 의석수가 5석 미만인 정당이 2%를 각각 나눠가지게 된다. 의석을 얻지 못하였더라도 최근에 실시된 국회의원 선거에 참여하여 그 선거에서 유효 투표 총수의 2% 이상을 득표한 정당의 경우 정당보조금이 지급된다."
8,객관식퀴즈,"재정 운용에서 지출이 직접 수입을 수반하는 경우, 그 수입이 확보되는 범위 안에서 직접 지출할 수 있도록 규정된 경비를 무엇이라고 하는가?",전대차관,준예산,수입대체경비,신임예산,3번,"수입대체경비에 대한 설명이다. 재정 운용에서 지출이 직접 수입을 수반하는 경우, 그 수입이 확보되는 범위 안에서 직접 지출할 수 있도록 규정된 경비를 말한다. 즉 국가가 특별한 역무를 제공하고 그 역무를 제공받은 자로부터 비용을 징수하는 경우의 해당 경비, 수입의 범위 안에서 관련 경비의 총액을 지출할 수 있는 경우의 해당 경비 중 각 중앙관서의 장이 그 수입이 확보되는 범위 안에서 직접 지출할 수 있도록 기획재정부 장관이 정하는 경비 등을 말한다. 수입대체경비는 수입이 예산을 초과하거나 초과할 것으로 예상되는 경우에는 그 초과 수입을 대통령령이 정하는 바에 의해 당해 초과 수입과 직접 관련되는 경비 및 이에 수반되는 경비에 초과 지출할 수 있다. 예산 운용 시에 모든 수입과 지출은 예산에 편입되어야 하나, 경우에 따라서는 수입과 지출을 상쇄하는 것이 허용된다. 우리나라 국가재정법은 지출이 직접 수입을 수반하는 경비는 그 수입이 확보되는 범위 안에서 직접 지출할 수 있도록 규정하고 있다. 전대차관은 외국환은행이 국내 거주자에게 수입 자금 등으로 전대할 것을 조건으로 하여 외국의 금융기관으로부터 외화 자금을 차입하는 것을 말하며, 준예산은 국가의 예산이 법정기간 내에 성립하지 못한 경우, 정부가 일정한 범위 내에서 전(前)회계연도 예산에 준하여 집행하는 잠정적인 예산이다. 신임예산은 입법부가 예산 총액만 결정하고 세부적인 내용은 행정부에 위임하는 예산 제도를 말한다. 영국과 캐나다에서 사용하고 있다."
9,객관식퀴즈,"민간이 자금을 들여 학교ㆍ도로 등 사회기반시설(SOC)을 건설하고, 완공 이후 소유권은 정부로 이전하되, 정부는 민간사업자에게 임대료를 지불하여 투자비를 회수할 수 있도록 한 공공사업 진행방식을 무엇이라고 하는가?",BTL방식,BOT방식,BTO방식,BOO방식,1번,"BTL방식에 대한 설명이다. 민간이 자금을 들여 학교·도로 등 사회기반시설(SOC)을 건설(build)하고, 완공 이후 소유권은 정부로 이전(transfer)하되, 정부는 민간사업자에게 임대료(lease)를 지불하여 투자비를 회수할 수 있도록 한 공공사업 진행 방식을 말한다. BOT는 도로·항만·교량 등의 인프라를 건조한 시공사가 일정 기간 이를 운영해 투자비를 회수한 뒤 발주처에 넘겨주는 수주 방식으로 건설(Build)하여 소유권을 취득한(Own) 후 국가에 귀속시키는 즉 기부채납하는 방식(Transfer)을 말한다. BTO는 '건설(build) → 이전(transfer) → 운영(operate)' 방식으로 진행되는 '수익형 민간투자사업' 방식으로, 민간사업자가 직접 시설을 건설해 정부·지방자치단체 등에 소유권을 양도(기부채납)한 뒤 일정 기간 사업을 직접 운영하면서 투자금을 회수하는 것이다. BOO방식은 민간자본으로 민간이 건설(build) 한 후 소유권(own)을 가지며 직접 운용(operate)해 투자비를 회수하는 방식이다."
10,OX퀴즈,국회의 사전 의결을 받아 예산 확보 없이 미리 채무를 부담하는 행위를 국고채무부담행위라고 한다.,,,,,1번(O),"국고채무부담행위에 대한 옳은 설명이다. 국회의 사전 의결을 받아 예산 확보 없이 미리 채무를 부담하는 행위를 말한다. 국고채무부담행위는 해외공관 건축이나 함정 건조 등과 같은 지출원인행위와 지출이 동일 연도에 귀속되지 않는 사업에 주로 허용된다. 국고채무부담행위는 일반적인 채무 부담과 재해복구를 위한 채무 부담으로 구분된다. 국고채무부담행위에 대한 국회의 의결은 국가에 다음 연도 이후에 지출할 수 있는 권한까지 부여하는 것은 아니다. 다만, 채무를 부담할 권한만을 부여하는 것이므로 채무 부담과 관련한 지출에 대해서는 다시 국회의 의결을 얻어야 한다. 그러나 일단 국고채무부담행위로서 국회의 의결을 얻어두면 국회는 다음 연도 이후에 동의 없이는 그에 관한 예산을 임의로 삭감할 수 없다."
11,OX퀴즈,"편무계약은 증여의 경우와 같이 당사자 일방만이 급부를 하고, 상대방은 이에 대응하는 반대급부를 하지 않는 계약을 말한다.",,,,,1번(O),"편무계약에 대한 옳은 설명이다. 편무계약이라 함은 증여의 경우와 같이 당사자 일방만이 급부를 하고, 상대방은 이에 대응하는 반대급부를 하지 않는 계약을 말한다. 이것은 쌍무계약과는 달리 동시이행의 항변권이나 위험부담 등의 문제가 발생하지 않는다. 민법에서 정하고 있는 15종의 전형계약 가운데 증여 이외에 소비대차 · 무상의 위임 · 무상의 임치 · 사용대차가 편무계약에 속한다."
12,OX퀴즈,휴업수당은?근로자의 귀책사유로 인하여 휴업하는 경우 사용자가?근로자에게 일상적인?임금에 갈음하여 지급하는 수당이다.,,,,,2번(X),"휴업수당은 근로자가 아닌 사용자의 귀책사유로 인하여 휴업하는 경우 사용자가 근로자에게 일상적인 임금에 갈음하여 지급한다. ?근로기준법? 제46조제1항에서 “사용자의 귀책사유로 인하여 휴업하는 경우에 사용자는 휴업 기간 동안 그 근로자에게 평균임금의 100분의 70 이상의 수당을 지급하여야 한다.""고 규정하고 있다."
13,객관식퀴즈,"대형 건설 프로젝트나 인프라 사업 계약을 따낸 사업자가 설계, 부품 소재 조달, 시공까지 원스톱으로 제공하는 형태의 사업을 의미하는 것은?",EPC,PF,SOC,기본설계,1번,"EPC는 설계(engineering), 조달(procurement), 시공(construction) 등의 영문 첫 글자를 딴 말이다. 대형 건설 프로젝트나 인프라 사업 계약을 따낸 사업자가 설계와 부품·소재 조달, 공사를 원스톱으로 제공하는 형태의 사업을 뜻한다. 일괄 수주를 의미하는 턴키(turn-key)와 비슷한 개념이다. PF는 프로젝트 파이낸싱을, SOC는 사회간접자본을 의미한다. 기본설계는 프로젝트 확정전 프로젝트 기간, 비용, 기술사와 사업주의 요구사항을 반영한 것을 말한다."
14,객관식퀴즈,기업이 매출채권을 금융기관에 양도하고 현금을 미리 회수하는 거래를 무엇이라고 하는가?,포페이팅,커버링,참가지급,팩토링,4번,"금융기관들이 기업으로부터 상업어음·외상매출증서 등 매출채권을 매입, 이를 바탕으로 자금을 빌려주는 제도를 팩토링(factoring)이라고 한다. 포페이팅(forfaiting)은 채권을 포기하거나 양도하고 현금을 받는 것을 말하며, 커버링(covering)은 외국환은행이 롱포지션이나 쇼트포지션을 스퀘어포지션으로 만드는 작업을 말한다. 참가지급은 어음의 소지인이 만기의 전후를 불문하고 소구권(遡求權)을 가지는 모든 경우에 주된 채무자(약속어음의 발행인, 환어음의 인수인) 이외의 자가 특정의 피참가인을 위하여 어음을 지급할 것을 약속하는 어음행위이다."
15,객관식퀴즈,지분법 회계에 대한 설명으로 옳지 않은 것은?,출자한 자회사의 순이익을 보유 지분만큼 모회사 재무제표에 반영하는 제도이다.,출자한 회사의 지분 10% 이상을 갖고 있을 경우 지분법 회계를 의무적으로 적용해야 한다.,투자회사가 피투자회사의 배당정책을 조정하거나 내부거래를 통해 순이익을 조작할 위험을 방지하는 효과를 기대할 수 있다.,자회사의 이익이나 손실을 지분율에 따라 장부에 반영한다.,2번,지분법 회계는 A기업이 관계회사인 B기업의 주식을 갖고 있을 경우 B기업의 이익이나 손실을 A기업의 손익에도 지분율만큼 반영하도록 하는 제도이다. 기업들은 20% 이상 지분을 출자하였거나 중대한 영향력을 행사하는 관계사의 경영 성과를 의무적으로 손익에 반영한다. 지분법을 적용하면 투자회사가 피투자회사의 배당정책을 조정하거나 내부거래를 통해 순이익을 조작할 위험을 방지하는 효과를 기대할 수 있다.
16,OX퀴즈,매출액보다 당기순이익이 커지는 경우는 없다.,,,,,2번(X),"당기순이익은 매출에서 각종 비용을 제하고 영업 외 수익을 더하여 구한다. 영업 외 수익이 큰 경우, 당기순이익이 매출액보다 크게 나타날 수 있다."
17,OX퀴즈,이자보상배율이 1보다 작은 기업은 영업이익으로 금융비용을 모두 충당하고도 이익이 남는 경우에 해당한다.,,,,,2번(X),"이자보상배율은 영업이익을 금융비용(이자비용)으로 나누어서 구한다. 기업의 채무 상환 능력을 나타내는 지표로, 이자보상배율이 1보다 작으면 영업이익으로 금융비용조차 지급할 수 없는 잠재적 부실기업에 해당한다고 볼 수 있다."
18,OX퀴즈,당좌자산은 해당 기업의 유동자산에서 재고자산을 제외하여 구한다.,,,,,1번(O),당좌자산에 대한 옳은 설명이다. 당좌자산은 1년 안에 현금화할 수 있는 유동자산 가운데 기업이 원할 경우 즉각적으로 현금화하기 쉬운 자산을 말한다. 유동자산에서 재고자산을 빼서 구한다. 재고자산은 현금화하는데 시간이 소요되기 때문이다.
19,객관식퀴즈,다음 중 통상임금에 포함되지 않는 것은?,직책수당,기술수당,근속수당,휴일근로수당,4번,근로자에게 정기적 일률적 고정적으로 소정근로 또는 총근로에 대해 지급하기로 정해진 시간급 일급 주급 월급 또는 도급금액을 말한다. 기본급뿐 아니라 직책수당 기술수당 위험수당 근속수당 물가수당 등 정기적 일률적 고정적으로 지급되는 것은 통상임금에 산입된다. 그러나 연장 야간 휴일근로에 대한 임금 등 실제 근로에 따라 변동되는 임금은 소정근로시간에 대한 임금이 아니므로 제외된다.
20,객관식퀴즈,다음 중 한국표준협회가 생산 과정에서 건강과 환경을 고려한 제품에 부여하는 인증 마크는 무엇인가?,Q마크,GD마크,환경마크,로하스마크,4번,"한국표준협회가 건강과 환경을 고려한 제품에 부여하는 인증 마크는 로하스마크이다. 로하스인증을 받기 위해서는 제품의 경제성, 환경성, 건강성, 디자인, 사회공헌 등의 10가지 기준을 통과해야 한다. Q마크는 공산품의 품질을 인증하는 민간규격으로 제조업체의 요청으로 해당 분야 민간시험검사소에 품질테스트를 마쳤음을 인증해 주는 민간인증마크이다. GD마크는 KS마크, 검마크를 받은 제품 중 디자인이 뛰어난 제품에 주는 품질 마크이다. 환경마크는 동일 용도의 제품 가운데 원료취득 → 생산 → 유통 → 사용 → 폐기 등 제품의 생산과정 각 단계에 걸쳐 자원 및 에너지를 덜 소비하고 오염물질을 덜 배출하는 제품을 선별해 환경부가 친환경상품임을 공인하는 마크이다."
21,OX퀴즈,총부채원리금상환비율(DSR)이 적용되면 총부채상환비율(DTI)이 적용될 때보다 대출한도가 대폭 확대될 수 있다.,,,,,2번(X),"DTI는 소득 대비 주택담보대출 원리금에 신용대출 등 다른 대출의 이자를 더한 금융부채로 대출한도를 계산하는 반면 DSR은 주택담보대출의 원리금뿐만 아니라 신용대출, 자동차 할부, 학자금 대출, 카드론 등 모든 대출의 원금과 이자를 모두 더한 원리금 상환액으로 대출 상환 능력을 심사하기 때문에 더 엄격하다. DSR을 도입하면 연소득은 그대로인 상태에서 금융부채가 커지기 때문에 대출한도가 대폭 축소될 수 있다."
22,OX퀴즈,노령화지수는 전체 인구 중에서 노령(65세 이상) 인구의 비율을 뜻한다.,,,,,2번(X),노령화지수는 15세 미만의 유소년(0~14세) 인구 대비 노령자(65세 이상)의 비율을 뜻한다. 노령화지수가 높을수록 노령인구가 많다는 것을 나타내며 보통 노령화지수가 30을 넘으면 노령화사회로 분류한다.
23,객관식퀴즈,다음 중 유전학자 멘델(G. Mendel)의 세 가지 유전 법칙에 해당하지 않는 것은?,진화의 법칙,우열의 법칙,분리의 법칙,독립의 법칙,1번,"오스트리아 유전학자 멘델이 발표한 유전 법칙은 우열·분리·독립의 세 가지 법칙으로 나뉜다. 유전현상은 이것을 바탕으로 설명된다. 우열의 법칙은 순종인 두 대립 형질을 가진 개체를 교배시켰을 때, 잡종 제1대(F1)에서는 두 가지 대립 형질 중 어느 한쪽만 나타난다는 법칙이다. 분리의 법칙은 F1에서 교배가 일어나면 짝을 짓고 있던 대립 유전자들은 서로 분리돼 F2의 형질이 3:1의 비율로 분리되는 현상을 말한다. 독립의 법칙은 두 쌍의 대립 형질이 유전될 때도 독립적으로 분리의 법칙에 따라 유전되는 현상을 일컫는다."
24,객관식퀴즈,"업(up)·다운(down)·스트레인지(strange)·참(charm)·보텀(bottom)·톱(top)의 6가지 종류가 있으며, 물질을 구성하는 가장 기본적인 입자는 무엇인가?",쿼크,소립자,중양자,중성자,1번,"쿼크(quark)는 소립자 복합 모델에서의 기본 구성 입자의 한 종류이다. 대부분의 물질은 양성자와 중성자로 이루어져 있고 이들은 다시 쿼크로 이루어져 있다. 쿼크는 6가지 종류가 있으며 물리학자들은 이들을 업/다운, 참/스트레인지, 톱/보텀 등 3개의 쌍으로 분류한다. 쿼크와 쿼크 사이의 접착제 역할은 글루온이 담당한다."
25,OX퀴즈,무궁화 위성은 우리나라 최초의 상용 통신·방송복합 위성이다.,,,,,1번(O),"무궁화 위성은 우리나라 최초의 상용 통신·방송복합 위성이다. 무궁화 1호는 1995년 8월 5일 미국 플로리다의 케이프 커내버럴 발사장에서 발사돼 8월 30일 정지궤도에 진입했다. 우리나라 최초의 국적 위성은 우리별 1호이며 소형 과학인공위성이다. 1992년 8월 11일 발사돼 지구 표면 촬영, 우주선 측정, 음성 데이터·화상 정보 교신 등의 실험을 5년간 수행했다. 이 밖에 다목적 실용위성으로 아리랑 위성이 발사되었다."
26,OX퀴즈,"배아줄기세포는 성인의 골수와 혈액 등에서 추출해 낸 세포로, 필요한 때에 특정한 조직의 세포로 분화하게 되는 미분화 상태의 세포이다.",,,,,2번(X),"성인의 골수와 혈액 등에서 추출해 낸 세포는 성체줄기세포이며, 뼈와 간, 혈액 등 구체적 장기의 세포로 분화되기 직전의 원시 세포이다. 성체줄기세포는 환자로부터 직접 얻을 수 있는 데다 골수나 뇌세포 등 이미 성장한 신체 조직에서 추출하기 때문에 윤리적인 문제에서 비교적 자유롭다. 그러나 소량으로 존재하기 때문에 분리해 내기가 쉽지 않다. 배아줄기세포는 배아의 발생 과정에서 추출한 세포로서 모든 조직의 세포로 분화할 수 있는 능력을 가진 미분화 세포이다."
27,객관식퀴즈,"법정지급준비율이 25%이고, 은행이 보유한 국공채 100만원어치를 중앙은행이 매입한다면 통화량은 최대 얼마까지 증가하는가?",100만원,200만원,300만원,400만원,4번,지급준비율이 25%이므로 화폐통화승수는 4이다. 중앙은행이 은행이 보유한 국공채를 100만원어치를 매입하므로 100만원은 은행 계좌로 들어간다. 은행이 이 돈을 대출에 사용한다면 최대 4배인 400만원까지 통화량이 증가할 수 있다.
28,객관식퀴즈,어떤 한국사람이 일본산 수입 자동차 한 대를 구입한다면 한국의 국민계정에 어떻게 반영될지 옳게 추론한 것은?,"순수출 증가, GDP 증가","순수출 감소, GDP 감소","순수출 감소, GDP 불변","순수출 불변, GDP 증가",3번,"GDP를 구성하는 항목은 소비, 투자, 정부구입, 순수출(수출-수입)이다. 수입품을 구입하였으므로 순수출 항목 중 수입이 증가하여 자동차 가격만큼 순수출은 감소한다. 동시에 개인이 자동차를 구입하였으므로 자동차 가격만큼 소비가 증가한다. 순수출 감소와 소비 증가가 서로 상쇄되어 GDP는 변하지 않는다."
29,객관식퀴즈,"독점기업의 이윤 극대화 생산량에서 가격, 한계수입, 한계비용의 관계를 옳게 나타낸 것은?",가격<한계수입,한계수입>한계비용,가격>한계비용,가격=한계수입=한계비용,3번,"독점시장은 한 기업만 상품을 생산하는 시장이다. 독점기업은 한계수입과 한계비용이 일치하는 점에서 이윤 극대화 생산량을 결정하며, 이윤 극대화 생산량에 상응하는 가격을 수요곡선에서 구한다. 결과적으로 독점기업의 이윤 극대화 생산량에서는 가격>한계수입, 가격>한계비용, 한계수입=한계비용의 관계가 성립한다."
